House Price,Year of Construction,E&V ID,Bedrooms,Half Bathrooms,Full Bathrooms,Total surface approx.,Garage,Plot surface approx.,Bathrooms
2725000,2024,AM-223766,5,1,3,376.35,2,0.0,
9875000,1974,AM-223753,4,1,1,491.64,2,2428.11,
2200000,1995,AM-223660,3,0,3,248.79,2,0.0,
2995000,0,AM-223544,7,2,5,371.61,0,339200.0,
38000,1985,AM-225353,2,0,2,125.88,0,0.0,
690000,2019,AM-225337,4,1,3,276.39,3,0.0,
879000,2009,AM-225327,5,1,4,319.96,2,0.0,
5695000,2019,AM-225304,9,1,8,528.43,2,890.31,
245000,2001,AM-225296,2,1,2,168.43,1,0.0,
889000,1983,AM-225145,3,0,3,182.65,2,2630.46,
599900,1961,AM-225133,4,0,1,281.22,2,1699.68,
2850000,2022,AM-224960,5,2,5,574.98,4,2788.28,
694900,2022,AM-224873,2,1,2,173.45,2,0.0,
468500,2022,AM-224804,3,1,3,186.74,2,1031.95,
930000,2002,AM-224794,4,1,3,356.75,3,19000.0,
2200000,1981,AM-224696,5,0,1,248.05,0,33300.0,
435000,1982,AM-224693,3,0,2,195.93,0,40500.0,
1523644,0,AM-224610,4,0,4,373.56,4,1011.31,
2500000,1977,AM-224408,4,1,4,251.67,2,272.76,
725000,2014,AM-224265,4,1,2,176.61,3,1885.84,
2850000,2002,AM-225984,4,0,3,611.12,2,182100.0,
3875000,2020,AM-225970,4,1,2,412.4,3,2630.46,
210000,1998,AM-225848,2,0,2,112.04,1,0.0,
599000,1999,AM-225843,5,0,4,332.5,2,1982.96,
379989,1941,AM-225836,3,0,2,151.15,1,671.78,
409900,2001,AM-225818,5,0,3,274.25,3,1214.06,
950000,1998,AM-225626,3,0,2,205.32,2,615.12,
429990,2022,AM-225578,3,1,2,207.64,2,1001.19,
2675000,2024,AM-225528,5,1,3,376.35,2,0.0,
2675000,2024,AM-225527,5,1,3,376.35,2,0.0,
1799000,2024,AM-225525,4,1,3,245.08,2,0.0,
1799000,2024,AM-225522,4,1,3,245.08,2,0.0,
1799000,2024,AM-225521,4,1,3,245.08,2,0.0,
1799000,2024,AM-225519,4,1,3,245.08,2,0.0,
3450000,2022,AM-225484,3,1,3,367.34,0,2225.77,
789000,2019,AM-225440,4,0,3,248.05,2,0.0,
415000,1968,AM-225418,2,0,1,80.27,2,607.03,
217500,2016,AM-225412,3,0,2,156.08,0,809.37,
900000,0,AM-226713,3,0,0,192.31,0,485.62,3
279000,2016,AM-226708,3,0,2,193.33,0,0.0,0
398000,2002,AM-226649,4,1,2,251.12,2,647.5,0
2850000,1964,AM-226546,3,0,2,135.45,1,696.87,0
800000,2006,AM-226455,3,0,0,140.93,0,4087.32,2
9980000,2007,AM-226438,6,2,5,714.05,3,0.0,0
1875000,2022,AM-226404,3,1,3,248.79,2,6636.84,0
795000,2022,AM-226379,5,0,3,285.31,0,687.97,0
414900,2022,AM-226359,3,1,2,110.55,0,283.28,0
459900,2007,AM-226322,5,1,2,324.6,2,2063.9,0
420000,1996,AM-226258,3,0,2,181.44,2,0.0,0
479990,2022,AM-226241,4,1,3,269.51,2,1375.93,0
11880000,2007,AM-226145,6,2,5,713.68,3,0.0,0
1590000,2023,AM-226111,3,1,0,217.86,2,930.78,0
1590000,2023,AM-226105,3,1,0,217.86,2,930.78,0
1645000,2023,AM-226104,3,1,3,221.11,2,930.78,0
2875000,1961,AM-227198,3,0,2,231.89,3,276200.0,0
1200000,2001,AM-227163,4,1,3,221.2,4,0.0,0
452000,2022,AM-227144,3,0,2,177.63,0,671.78,0
455900,2022,AM-227140,4,0,3,241.55,0,534.19,0
463900,2022,AM-227139,4,0,3,183.3,0,632.12,0
1099000,1980,AM-227101,2,0,1,105.91,0,0.0,0
1600000,1954,AM-227056,3,0,2,172.52,2,568.58,0
460000,1950,AM-227035,3,0,2,144.74,0,1011.71,0
496900,2022,AM-227012,3,1,3,187.57,2,833.65,0
550000,2003,AM-226965,5,0,5,303.79,1,0.0,0
990000,1995,AM-226959,3,1,3,180.05,1,80.94,0
1250000,2002,AM-226915,7,2,5,937.39,6,54500.0,0
1250000,2002,AM-226913,7,2,5,937.39,6,0.0,0
1850000,1949,AM-226908,6,0,7,601.08,4,971200.0,0
849000,2017,AM-226808,4,1,3,273.97,0,242.81,0
499000,2004,AM-226729,3,0,0,162.77,0,930.78,2
780000,1954,AM-226728,3,1,2,175.96,1,1942.49,0
369900,2003,AM-227819,4,0,3,254.09,0,1011.71,0
529900,1935,AM-227786,3,0,2,124.86,0,0.0,0
109900,1930,AM-227784,3,0,2,106.28,0,4046.86,0
2200000,0,AM-227720,5,0,0,358.14,0,12300.0,4
289000,1905,AM-227702,3,0,2,98.29,0,687.97,0
3950000,1966,AM-227639,4,0,4,413.98,0,2711.39,0
1350000,1972,AM-227626,3,0,2,181.53,1,0.0,0
1390000,1951,AM-227578,5,0,2,218.88,0,566.96,0
699000,1866,AM-227562,2,1,1,103.31,0,202.34,0
3000000,2005,AM-227555,3,1,3,302.21,2,0.0,0
350000,2017,AM-227547,5,1,3,290.97,0,1011.71,0
1350000,2022,AM-227524,4,1,4,366.32,0,4127.79,0
1500000,2007,AM-227444,3,0,0,255.02,0,607.03,4
1385000,2021,AM-227432,3,0,3,278.71,3,2428.11,0
1040000,2022,AM-227430,4,0,3,229.47,2,971.25,0
1290000,2022,AM-227429,3,1,2,235.88,3,2468.58,0
1849000,2004,AM-227418,3,0,2,149.39,2,40.47,0
379900,1999,AM-227415,3,0,2,146.6,2,1052.18,0
580000,1996,AM-228518,4,1,2,321.07,3,1173.59,0
565000,1979,AM-228486,2,1,2,178.19,2,0.0,0
765000,1976,AM-228431,3,1,1,122.35,2,0.0,0
268000,2023,AM-228369,3,0,0,151.9,0,0.0,3
6800000,1990,AM-228354,5,0,3,396.14,4,283300.0,0
1575000,1998,AM-228319,4,0,4,335.19,3,0.0,0
205000,1967,AM-228274,4,0,2,114.92,2,0.0,0
6500000,2006,AM-228213,7,3,9,1114.84,5,3480.3,0
550000,2004,AM-228123,3,1,3,327.39,2,202.34,0
849000,1980,AM-228118,4,0,2,238.58,1,81000.0,0
415000,2021,AM-228026,3,1,2,187.2,3,421.28,0
249900,1922,AM-227916,4,0,1,141.58,2,485.62,0
414900,2022,AM-227908,3,1,2,110.55,0,283.28,0
414900,2022,AM-227907,3,1,2,110.55,0,283.28,0
414900,2022,AM-227906,3,1,2,110.55,0,283.28,0
380000,2006,AM-227902,3,1,2,130.81,2,485.62,0
388000,2021,AM-227889,3,1,2,197.14,3,780.23,0
516990,2022,AM-227838,3,1,2,204.57,2,453.25,0
599000,2016,AM-228944,3,0,2,187.2,2,0.0,0
565000,1978,AM-228938,4,1,2,99.22,0,1173.59,0
950000,1987,AM-228904,3,1,2,272.86,3,0.0,0
1776500,1999,AM-228816,3,1,3,232.72,2,121.41,0
239900,2002,AM-228802,2,0,2,94.3,0,202.34,0
373000,2020,AM-228773,4,0,3,190.64,3,3035.14,0
2500000,2009,AM-228732,5,0,5,221.48,0,2023.43,0
495000,2004,AM-228719,2,0,0,108.88,0,2428.11,1
3995000,2022,AM-228714,4,1,3,459.87,2,1719.91,0
18000000,1999,AM-228700,5,1,5,494.34,0,5220.44,0
2795000,2004,AM-228677,5,1,1,631.74,2,80900.0,0
314990,2022,AM-228658,3,1,2,136.29,1,0.0,0
314990,2022,AM-228657,3,1,2,136.29,1,0.0,0
175000,0,AM-228609,3,0,2,120.77,0,647.5,0
1895000,1920,AM-228596,5,1,4,343.74,2,728.43,0
339990,2022,AM-228583,3,1,2,174.01,2,0.0,0
1249000,1952,AM-228578,3,0,0,163.88,0,0.0,0
394900,1997,AM-229432,3,0,2,150.13,2,768.9,
465000,1974,AM-229361,2,0,2,135.08,2,526.09,
380000,2006,AM-229331,4,0,3,191.29,2,607.03,
1259950,2022,AM-229325,5,0,3,299.71,2,615.93,
319990,2022,AM-229314,3,1,2,136.29,1,0.0,
3895000,2006,AM-229260,5,1,4,289.86,0,526.09,
785000,2022,AM-229254,4,1,3,217.86,2,242.81,
865000,2022,AM-229253,3,1,3,204.11,2,242.81,
325000,2006,AM-229218,3,0,2,131.27,2,728.43,
1425000,0,AM-229175,4,0,5,379.69,4,900.43,
550000,2022,AM-229168,3,0,2,133.32,2,566.56,
599000,2022,AM-229106,4,0,2,261.89,2,3399.36,
389000,1996,AM-229100,3,0,2,183.58,2,1254.53,
3950000,2022,AM-229079,5,1,1,537.07,0,104900.0,
680000,2014,AM-229028,4,0,3,283.54,2,647.5,
11900000,1991,AM-229007,5,1,5,588.45,3,0.0,
684900,2013,AM-228986,4,0,3,187.29,0,1214.06,
2095000,1995,AM-229961,6,1,4,430.05,5,1902.02,
995000,1920,AM-229859,3,0,1,154.78,4,26100.0,
430000,2018,AM-229856,3,0,2,166.95,2,1133.12,
489990,2022,AM-229844,3,1,2,180.32,2,202.34,
499990,2022,AM-229841,3,1,2,192.22,2,202.34,
285900,1977,AM-229825,4,0,2,152.36,2,1821.09,
349900,1978,AM-229797,4,0,2,222.97,2,0.0,
2950000,2003,AM-229767,7,1,2,875.52,3,121800.0,
365000,1963,AM-229647,3,0,1,89.19,1,849.84,
1424900,1955,AM-229641,3,0,1,155.52,2,493.31,
704900,2006,AM-229640,5,0,5,605.73,2,1173.59,
1150000,2022,AM-229586,3,2,3,262.64,2,0.0,
319900,1991,AM-229578,3,1,1,143.07,2,768.9,
484950,2022,AM-229560,3,1,2,148.92,2,453.25,
1199000,1955,AM-229487,3,1,2,234.67,0,3804.05,
7000000,2001,AM-229457,4,2,4,531.5,0,0.0,
425000,1971,AM-229452,3,0,2,98.85,1,0.0,
1650000,1974,AM-229437,6,2,5,515.15,5,0.0,
8750000,2022,AM-230829,8,1,8,591.98,0,1052.18,0
419000,1952,AM-230815,3,0,2,109.72,0,890.31,0
630000,1955,AM-230790,3,0,1,172.61,1,890.31,0
1999900,2018,AM-230715,5,2,3,455.22,2,1052.18,0
669000,2020,AM-230633,4,1,2,174.38,1,0.0,0
715000,2015,AM-230555,6,0,5,319.12,2,325.77,0
599000,1989,AM-230474,3,0,0,175.03,0,40500.0,2
299900,1926,AM-230330,2,0,1,118.73,0,6394.03,0
499900,1900,AM-230274,5,0,2,232.26,16,22300.0,0
985000,2014,AM-230217,2,0,0,205.41,2,0.0,3
1050000,1999,AM-230216,5,0,3,426.15,3,5612.99,0
449900,2014,AM-230129,4,1,2,192.22,2,728.43,0
1995000,1978,AM-230096,3,0,3,303.24,1,1052.18,0
5975000,2022,AM-230021,4,0,4,358.14,2,3884.98,0
3299000,1999,AM-230019,4,0,4,266.26,0,0.0,0
28000000,2022,AM-229990,7,0,8,1265.06,6,7595.95,0
757000,2017,AM-229986,5,0,4,345.69,3,0.0,0
428900,2021,AM-229974,3,0,2,213.96,2,809.37,0
2300000,2024,AM-231336,4,1,3,245.08,2,0.0,0
2300000,2024,AM-231328,4,1,3,245.08,2,0.0,0
4395000,2022,AM-231319,4,1,4,345.32,2,0.0,0
4695000,2022,AM-231318,4,1,4,345.32,2,0.0,0
3800000,1989,AM-231317,4,1,4,481.33,2,0.0,0
449000,1994,AM-231307,4,0,2,180.05,2,526.09,0
