House Price,Year of Construction,E&V ID,Bedrooms,Full Bathrooms,Total surface approx.,Plot surface approx.,Half Bathrooms,Garage,Bathrooms
255000,1939,AM-252846,3,2,162.02,594.48,0,1,
305000,1997,AM-252842,3,2,192.77,37800.0,0,0,
899000,1983,AM-252834,5,5,465.17,853.08,1,2,
779900,1999,AM-252829,3,3,223.99,728.43,0,2,
3500000,2013,AM-252827,4,6,486.16,4285.62,0,4,
2875000,1999,AM-252824,4,4,349.13,202.34,0,3,
665000,2017,AM-252814,4,3,233.56,1861.55,0,3,
2995000,1928,AM-252809,2,2,115.94,0.0,0,0,
715000,2020,AM-252804,2,2,151.8,0.0,0,1,
339900,1965,AM-252798,3,2,147.72,1052.18,0,0,
3500000,2008,AM-252792,5,4,774.25,30400.0,2,16,
259990,2022,AM-252787,3,2,158.4,40.47,1,0,
2895000,1997,AM-252784,5,3,324.23,3763.58,1,5,
255000,2006,AM-252910,2,2,133.69,0.0,1,1,
105000,1985,AM-252909,3,0,165.83,0.0,0,0,
749900,1996,AM-252907,3,3,203.36,2023.43,0,0,
475000,2022,AM-252906,3,2,167.23,743.41,1,0,
998900,2022,AM-252903,4,3,324.6,12300.0,1,3,
969900,2022,AM-252902,4,3,300.54,11700.0,1,3,
1150000,2020,AM-252900,3,2,226.5,647.5,1,2,
350000,1983,AM-252898,3,2,201.79,768.9,0,2,
6495000,1952,AM-252894,4,4,252.51,0.0,0,1,
249900,2022,AM-252890,3,2,121.42,1982.96,0,0,
425000,2018,AM-252886,3,2,151.43,0.0,0,2,
359900,2016,AM-252882,3,2,170.94,20299.999999999996,0,3,
1750000,1971,AM-252881,3,2,184.97,0.0,1,2,
729000,1983,AM-252875,4,3,196.21,19500.0,0,1,
380000,2008,AM-252870,4,3,187.66,0.0,1,0,
419000,1983,AM-252869,3,2,140.84,929.16,0,0,
465000,1985,AM-252868,3,2,155.98,849.84,0,2,
2550000,2020,AM-252962,3,4,558.9,20200.0,0,5,0.0
550000,1993,AM-252957,3,2,166.85,4815.76,0,0,0.0
1349000,2022,AM-252947,4,4,330.55,1052.18,1,2,0.0
365000,1970,AM-252946,5,3,445.19,1375.93,1,3,0.0
850000,2004,AM-252945,3,0,165.74,9145.9,0,0,2.0
339990,2020,AM-252943,3,2,174.29,0.0,1,2,0.0
4750000,2020,AM-252941,8,9,617.81,1254.53,1,0,0.0
90000,1939,AM-252933,2,1,100.34,590.84,0,1,0.0
550000,2007,AM-252932,3,2,164.62,607.03,0,2,0.0
10200000,2023,AM-252931,4,4,455.78,19500.0,1,0,0.0
899000,1961,AM-252930,3,1,104.14,579.51,0,0,0.0
535000,1984,AM-252928,4,3,149.02,728.43,1,1,0.0
519000,1992,AM-252923,3,2,208.2,971.25,0,2,0.0
475000,2022,AM-252921,3,2,167.23,744.62,1,2,0.0
3400000,2020,AM-252920,4,4,500.75,1092.65,1,2,0.0
35000,1985,AM-252914,2,0,121.89,0.0,0,0,0.0
649999,2015,AM-252913,3,2,227.33,607.03,1,2,0.0
575000,1920,AM-253058,4,3,227.89,716.29,0,0,0.0
395000,0,AM-253055,2,2,80.83,6474.97,0,1,0.0
459000,1989,AM-253047,2,0,139.73,2063.9,0,0,2.0
550000,1989,AM-253046,2,0,139.73,4289.67,0,0,2.0
185000,1960,AM-253039,3,1,133.13,1861.55,0,0,0.0
295000,2002,AM-253037,3,2,151.62,0.0,0,2,0.0
424900,2022,AM-253035,3,2,110.37,364.22,1,0,0.0
424900,2022,AM-253034,3,2,110.37,392.55,1,0,0.0
380000,1959,AM-253027,4,2,194.72,791.57,0,1,0.0
2199000,2009,AM-253021,5,5,221.48,11900.0,0,0,0.0
675000,0,AM-253019,2,0,193.15,566.56,0,2,2.0
460000,2022,AM-253006,4,2,197.6,728.43,0,2,0.0
1195000,1905,AM-252980,3,2,194.26,1699.68,0,0,0.0
725000,2022,AM-252977,3,2,155.33,1861.55,0,2,0.0
650000,1998,AM-252975,4,3,187.29,7769.96,0,2,0.0
5500000,2014,AM-252971,3,3,306.39,1456.87,1,2,0.0
579900,2022,AM-252967,3,2,171.41,526.09,0,2,0.0
390000,1962,AM-252966,5,2,114.92,890.31,0,0,0.0
